feature,mean_abs_shap
rgb_mean_diff,0.0
boundary_edge_strength,0.0
lbp_hist_diff,0.0
roi_brightness_std,0.0014703983188297282
color_distance,0.003933284879637215
hsv_value_diff,0.004026769631982412
boundary_gradient_mean,0.006119088512321532
hsv_saturation_diff,0.010831927234905114
laplacian_variance,0.016887413611130154
brightness_diff,0.02532722327394187
global_edge_mean,0.05004451081516361
mean_suspicious_score,0.06070465396510997
global_brightness_mean,0.0863536422504724
suspicious_area_ratio,0.18118575409042767
top_k_score_mean,0.31566845651253406
max_suspicious_score,1.4247804356942213
